# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-a" "data/raw_external/NCTC8325.gff3.gz" "-o" "results/tables/counts.tsv" "intermediate/SRR935090.sorted.bam" "intermediate/SRR935091.sorted.bam" "intermediate/SRR935092.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	intermediate/SRR935090.sorted.bam	intermediate/SRR935091.sorted.bam	intermediate/SRR935092.sorted.bam
SAOUHSC_00049	Chromosome	50359	53511	+	3153	0	3	4
SAOUHSC_00050	Chromosome	53568	54050	+	483	0	0	1
SAOUHSC_00051	Chromosome	54255	55241	+	987	0	0	0
SAOUHSC_00052	Chromosome	55462	56232	+	771	0	0	0
SAOUHSC_00053	Chromosome	56284	57054	+	771	0	0	1
SAOUHSC_00054	Chromosome	57118	57888	+	771	0	2	0
SAOUHSC_00055	Chromosome	57955	58722	+	768	0	0	1
SAOUHSC_00056	Chromosome	58855	61053	+	2199	2	4	8
SAOUHSC_00057	Chromosome	61204	62382	+	1179	0	1	0
SAOUHSC_00058	Chromosome	62384	63772	+	1389	1	1	1
SAOUHSC_00060	Chromosome	64265	65926	-	1662	5	7	7
SAOUHSC_00061	Chromosome	66252	68027	-	1776	0	2	3
SAOUHSC_00062	Chromosome	68201	69073	-	873	0	1	0
SAOUHSC_00064	Chromosome	69186	70583	+	1398	0	0	2
SAOUHSC_00065	Chromosome	70773	71246	+	474	0	0	0
SAOUHSC_00067	Chromosome	71508	73100	+	1593	8	3	22
SAOUHSC_00069	Chromosome	73429	74979	-	1551	229	17	33
SAOUHSC_00070	Chromosome	75400	76152	-	753	9	0	4
SAOUHSC_00071	Chromosome	76521	77435	-	915	3	0	0
SAOUHSC_00072	Chromosome	77516	78511	-	996	0	0	2
SAOUHSC_00074	Chromosome	78527	79519	-	993	3	0	12
SAOUHSC_00075	Chromosome	79885	80730	+	846	0	0	0
SAOUHSC_00076	Chromosome	80727	81737	+	1011	0	0	0
SAOUHSC_00077	Chromosome	81758	83512	+	1755	0	0	0
SAOUHSC_00078	Chromosome	83505	84761	+	1257	0	0	0
SAOUHSC_00079	Chromosome	84751	86487	+	1737	0	0	0
SAOUHSC_00080	Chromosome	86396	88246	+	1851	0	1	0
SAOUHSC_00081	Chromosome	88221	88997	+	777	0	0	0
SAOUHSC_00082	Chromosome	88997	90199	+	1203	1	2	1
SAOUHSC_00083	Chromosome	90203	90967	+	765	0	0	0
SAOUHSC_A00084	Chromosome	90905	91096	-	192	0	0	0
SAOUHSC_00084	Chromosome	91163	91570	+	408	0	0	0
SAOUHSC_00085	Chromosome	91620	92246	+	627	0	0	0
SAOUHSC_00086	Chromosome	92458	93234	+	777	0	0	1
SAOUHSC_00087	Chromosome	93378	93500	+	123	0	0	0
SAOUHSC_00088	Chromosome	93570	94550	+	981	0	0	0
SAOUHSC_00089	Chromosome	94513	95205	+	693	0	0	0
SAOUHSC_00090	Chromosome	95415	96581	+	1167	0	0	2
SAOUHSC_00091	Chromosome	96562	97800	+	1239	0	0	0
SAOUHSC_00092	Chromosome	97790	99220	+	1431	1	1	2
SAOUHSC_00093	Chromosome	99488	100087	+	600	7	1	17
SAOUHSC_00094	Chromosome	100455	101054	+	600	1	0	1
SAOUHSC_00096	Chromosome	101370	102125	-	756	2	0	2
SAOUHSC_A00097	Chromosome	102228	102452	-	225	0	0	0
SAOUHSC_00097	Chromosome	102361	103068	+	708	0	0	0
SAOUHSC_00099	Chromosome	103075	104427	+	1353	0	2	0
SAOUHSC_00100	Chromosome	104508	105170	+	663	2	2	4
SAOUHSC_00101	Chromosome	105198	106376	+	1179	8	0	16
SAOUHSC_00102	Chromosome	106507	107322	-	816	0	0	0
SAOUHSC_00103	Chromosome	107319	108119	-	801	0	0	0
SAOUHSC_00104	Chromosome	108121	108894	-	774	0	1	0
SAOUHSC_00105	Chromosome	109108	110064	-	957	0	0	0
SAOUHSC_00106	Chromosome	110293	111837	+	1545	0	0	0
SAOUHSC_00107	Chromosome	111888	113423	+	1536	0	1	1
SAOUHSC_00108	Chromosome	113507	113710	+	204	0	0	0
SAOUHSC_00109	Chromosome	114083	114568	+	486	0	0	0
SAOUHSC_00110	Chromosome	114553	114843	+	291	0	0	0
SAOUHSC_00111	Chromosome	114927	115214	+	288	0	0	0
SAOUHSC_00112	Chromosome	115867	116088	+	222	0	0	0
SAOUHSC_00113	Chromosome	116538	119147	+	2610	0	0	0
SAOUHSC_00114	Chromosome	119492	120160	+	669	0	0	0
SAOUHSC_00115	Chromosome	120176	120862	+	687	1	0	0
SAOUHSC_00116	Chromosome	120865	121629	+	765	0	0	0
SAOUHSC_00117	Chromosome	121649	123472	+	1824	0	0	0
SAOUHSC_00118	Chromosome	123462	124490	+	1029	0	0	0
SAOUHSC_00119	Chromosome	124503	125612	+	1110	0	0	0
SAOUHSC_00120	Chromosome	125616	126740	+	1125	0	1	0
SAOUHSC_00121	Chromosome	126743	127369	+	627	0	0	0
SAOUHSC_00122	Chromosome	127374	128483	+	1110	0	0	0
SAOUHSC_00123	Chromosome	128497	129663	+	1167	0	0	0
SAOUHSC_00124	Chromosome	129656	130861	+	1206	0	1	0
SAOUHSC_00125	Chromosome	130862	132067	+	1206	0	0	2
SAOUHSC_00126	Chromosome	132078	132635	+	558	0	0	1
SAOUHSC_00127	Chromosome	132635	133522	+	888	0	0	0
SAOUHSC_00128	Chromosome	133576	134838	+	1263	0	1	1
SAOUHSC_00129	Chromosome	134915	136060	+	1146	0	2	2
SAOUHSC_00130	Chromosome	136125	136451	-	327	0	1	1
SAOUHSC_00131	Chromosome	136458	136841	-	384	0	0	0
SAOUHSC_00132	Chromosome	137268	138755	+	1488	0	0	0
SAOUHSC_00133	Chromosome	139401	140360	+	960	0	2	0
SAOUHSC_00134	Chromosome	140422	140625	-	204	0	0	0
SAOUHSC_00135	Chromosome	140804	141316	+	513	3	0	0
SAOUHSC_00136	Chromosome	141658	142398	+	741	0	2	0
SAOUHSC_00137	Chromosome	142412	143386	+	975	1	2	1
SAOUHSC_00138	Chromosome	143383	144144	+	762	1	0	0
SAOUHSC_00139	Chromosome	144157	145188	+	1032	0	0	0
SAOUHSC_00141	Chromosome	145405	145764	+	360	1	0	2
SAOUHSC_00142	Chromosome	145937	146962	+	1026	0	0	0
SAOUHSC_00143	Chromosome	147348	148598	+	1251	0	0	3
SAOUHSC_00144	Chromosome	149045	156220	+	7176	3	0	3
SAOUHSC_00145	Chromosome	156233	156877	+	645	0	0	2
SAOUHSC_00146	Chromosome	157205	157684	-	480	0	0	0
SAOUHSC_00147	Chromosome	157954	158718	-	765	1	0	0
SAOUHSC_00148	Chromosome	158734	159975	-	1242	0	0	1
SAOUHSC_00149	Chromosome	159987	161018	-	1032	0	1	0
EBG00001047341	Chromosome	160579	160770	-	192	0	0	0
SAOUHSC_00150	Chromosome	161057	162241	-	1185	0	1	0
SAOUHSC_00151	Chromosome	162494	163849	-	1356	11	1	4
SAOUHSC_00152	Chromosome	164125	164622	-	498	1	0	6
SAOUHSC_00153	Chromosome	164749	166389	-	1641	2	0	10
SAOUHSC_00154	Chromosome	166583	166684	+	102	0	0	0
SAOUHSC_00155	Chromosome	166663	168660	-	1998	19	0	41
SAOUHSC_00156	Chromosome	169309	170349	+	1041	0	0	0
SAOUHSC_00157	Chromosome	170349	171245	+	897	0	0	0
SAOUHSC_00158	Chromosome	171257	172711	+	1455	1	0	0
SAOUHSC_00160	Chromosome	172714	173589	+	876	1	0	0
SAOUHSC_00161	Chromosome	173783	174064	-	282	0	0	0
SAOUHSC_00162	Chromosome	174277	177066	+	2790	1	5	4
SAOUHSC_00163	Chromosome	177271	178113	+	843	0	0	1
SAOUHSC_00164	Chromosome	178115	179038	+	924	2	1	1
SAOUHSC_00166	Chromosome	179025	180137	+	1113	0	0	1
SAOUHSC_00167	Chromosome	180402	181994	-	1593	2	0	0
SAOUHSC_00168	Chromosome	181951	183429	+	1479	1	0	0
SAOUHSC_00169	Chromosome	183435	184598	+	1164	0	0	0
SAOUHSC_00170	Chromosome	184615	186390	+	1776	0	0	0
SAOUHSC_00171	Chromosome	186428	188434	+	2007	2	2	0
SAOUHSC_00172	Chromosome	188732	189505	-	774	0	0	0
SAOUHSC_00173	Chromosome	189695	190321	-	627	1	0	0
SAOUHSC_00174	Chromosome	190530	191108	+	579	2	0	1
SAOUHSC_00175	Chromosome	191491	192588	+	1098	0	0	0
SAOUHSC_00176	Chromosome	192601	193872	+	1272	0	1	0
SAOUHSC_00177	Chromosome	193875	195143	+	1269	0	0	0
SAOUHSC_00178	Chromosome	195145	195984	+	840	0	0	0
SAOUHSC_00179	Chromosome	196058	197134	+	1077	1	0	0
SAOUHSC_00180	Chromosome	197159	198199	+	1041	0	0	1
SAOUHSC_00181	Chromosome	198254	199222	+	969	0	0	0
SAOUHSC_00182	Chromosome	199583	200155	-	573	4	1	8
SAOUHSC_00183	Chromosome	200310	201689	+	1380	1	0	0
SAOUHSC_00184	Chromosome	202048	202806	-	759	0	1	1
SAOUHSC_00185	Chromosome	202799	204355	-	1557	0	0	1
SAOUHSC_00186	Chromosome	204352	205320	-	969	1	1	0
SAOUHSC_00187	Chromosome	205908	208157	+	2250	0	1	0
SAOUHSC_00188	Chromosome	208180	208935	+	756	0	0	0
SAOUHSC_00189	Chromosome	209039	209233	+	195	0	0	0
SAOUHSC_00190	Chromosome	209271	211034	+	1764	3	0	2
SAOUHSC_00191	Chromosome	211198	211542	-	345	0	0	1
SAOUHSC_00192	Chromosome	211732	213642	+	1911	1	0	2
SAOUHSC_00193	Chromosome	213824	213931	-	108	0	0	0
SAOUHSC_00194	Chromosome	213950	214120	-	171	0	0	0
SAOUHSC_00195	Chromosome	214246	215430	-	1185	0	0	0
SAOUHSC_00196	Chromosome	215460	217721	-	2262	0	0	0
SAOUHSC_00197	Chromosome	217907	219118	-	1212	0	0	0
SAOUHSC_00198	Chromosome	219230	220735	-	1506	0	0	0
SAOUHSC_00199	Chromosome	220761	222338	-	1578	1	0	0
SAOUHSC_00200	Chromosome	222779	223921	+	1143	1	1	2
SAOUHSC_00201	Chromosome	224235	225647	-	1413	0	1	0
SAOUHSC_00202	Chromosome	225908	226264	-	357	0	0	0
SAOUHSC_00203	Chromosome	226421	226594	-	174	0	0	0
SAOUHSC_00204	Chromosome	226620	227765	-	1146	0	3	5
SAOUHSC_00205	Chromosome	227920	228027	+	108	0	0	0
SAOUHSC_00206	Chromosome	228482	229291	+	810	0	0	0
SAOUHSC_00208	Chromosome	229502	229645	+	144	0	0	0
SAOUHSC_00209	Chromosome	229611	231140	-	1530	0	0	0
SAOUHSC_00211	Chromosome	231502	232437	+	936	1	0	0
SAOUHSC_00212	Chromosome	232547	232645	+	99	0	0	0
SAOUHSC_00213	Chromosome	232776	234872	+	2097	0	1	0
SAOUHSC_00214	Chromosome	234857	235324	+	468	0	0	0
SAOUHSC_00215	Chromosome	235347	235625	+	279	0	0	0
SAOUHSC_00216	Chromosome	235852	237111	+	1260	0	0	0
SAOUHSC_00217	Chromosome	237129	238184	+	1056	0	0	0
SAOUHSC_00218	Chromosome	238186	238332	+	147	0	0	0
SAOUHSC_00219	Chromosome	238356	239399	+	1044	1	0	0
SAOUHSC_00220	Chromosome	239969	240643	+	675	0	0	1
SAOUHSC_00221	Chromosome	240636	241661	+	1026	4	0	0
SAOUHSC_A00219	Chromosome	241570	241857	-	288	0	0	0
SAOUHSC_00222	Chromosome	241836	243377	+	1542	10	1	3
SAOUHSC_00223	Chromosome	243805	244974	+	1170	1	0	3
SAOUHSC_00225	Chromosome	245250	245966	+	717	3	1	5
SAOUHSC_00226	Chromosome	245959	246984	+	1026	5	2	15
SAOUHSC_00227	Chromosome	247006	248694	+	1689	8	7	34
SAOUHSC_00228	Chromosome	248727	250451	+	1725	8	11	43
SAOUHSC_00229	Chromosome	250591	251265	+	675	0	0	0
SAOUHSC_00230	Chromosome	251527	253266	+	1740	1	3	2
SAOUHSC_00231	Chromosome	253269	254009	+	741	1	1	2
SAOUHSC_00232	Chromosome	254122	254565	+	444	0	2	0
SAOUHSC_00233	Chromosome	254558	255259	+	702	0	1	0
SAOUHSC_00234	Chromosome	255367	256071	-	705	2	0	1
SAOUHSC_00235	Chromosome	256220	257011	+	792	0	0	1
SAOUHSC_00236	Chromosome	257027	258463	+	1437	2	0	3
SAOUHSC_00237	Chromosome	258896	259657	-	762	1	0	0
SAOUHSC_00238	Chromosome	259676	259810	+	135	0	0	0
SAOUHSC_00239	Chromosome	259908	260822	-	915	0	0	0
SAOUHSC_00240	Chromosome	260850	261254	-	405	1	0	0
SAOUHSC_00241	Chromosome	261269	262150	-	882	0	1	1
SAOUHSC_00242	Chromosome	262382	263380	-	999	2	1	1
SAOUHSC_00243	Chromosome	263531	263710	+	180	0	0	0
SAOUHSC_00244	Chromosome	263760	264152	+	393	1	0	0
SAOUHSC_00245	Chromosome	264380	264784	+	405	0	2	0
SAOUHSC_00246	Chromosome	264825	266201	-	1377	0	0	0
SAOUHSC_00247	Chromosome	266435	267427	+	993	0	1	1
SAOUHSC_00248	Chromosome	267753	268703	+	951	3	3	1
SAOUHSC_00249	Chromosome	268755	269414	-	660	0	1	0
SAOUHSC_00250	Chromosome	269428	270348	-	921	1	0	2
SAOUHSC_00251	Chromosome	270345	271511	-	1167	0	1	1
SAOUHSC_00253	Chromosome	271579	273102	-	1524	5	0	3
SAOUHSC_00254	Chromosome	273373	274026	+	654	0	0	0
SAOUHSC_00255	Chromosome	274060	274647	+	588	0	0	1
SAOUHSC_00256	Chromosome	274790	275683	-	894	2	0	0
SAOUHSC_00257	Chromosome	275931	276224	+	294	4	7	2
SAOUHSC_00258	Chromosome	276308	279337	+	3030	2	1	1
SAOUHSC_00259	Chromosome	279337	279795	+	459	1	0	1
SAOUHSC_00260	Chromosome	279728	280009	+	282	0	0	0
SAOUHSC_00261	Chromosome	280022	281356	+	1335	2	1	0
SAOUHSC_00262	Chromosome	281378	285817	+	4440	3	1	1
SAOUHSC_00264	Chromosome	285847	286239	+	393	0	0	0
SAOUHSC_00265	Chromosome	286255	286569	+	315	0	0	0
SAOUHSC_00266	Chromosome	286569	287243	+	675	1	0	0
SAOUHSC_00267	Chromosome	287243	287560	+	318	0	0	0
SAOUHSC_00268	Chromosome	287570	289414	+	1845	2	1	1
SAOUHSC_00269	Chromosome	289425	289916	+	492	2	0	3
SAOUHSC_00270	Chromosome	290124	290807	+	684	1	1	1
SAOUHSC_00271	Chromosome	290954	291565	+	612	0	0	0
SAOUHSC_00272	Chromosome	291701	291919	+	219	0	0	1
SAOUHSC_00274	Chromosome	292051	292551	+	501	0	1	1
SAOUHSC_00275	Chromosome	292421	293062	+	642	1	0	0
SAOUHSC_00276	Chromosome	293073	293573	+	501	0	0	0
SAOUHSC_00277	Chromosome	293584	294084	+	501	0	0	0
SAOUHSC_00278	Chromosome	294095	294583	+	489	0	0	0
SAOUHSC_00279	Chromosome	295206	295580	+	375	2	0	0
SAOUHSC_00280	Chromosome	295733	296131	+	399	1	1	2
SAOUHSC_00281	Chromosome	296347	297171	-	825	0	0	1
SAOUHSC_00282	Chromosome	297408	298685	-	1278	5	0	9
SAOUHSC_00284	Chromosome	299299	300189	+	891	6	0	3
SAOUHSC_A00283	Chromosome	300206	300439	-	234	0	0	0
SAOUHSC_00285	Chromosome	300438	301487	+	1050	0	2	0
SAOUHSC_00287	Chromosome	301500	302177	+	678	0	0	1
SAOUHSC_00289	Chromosome	302336	302476	-	141	0	0	0
SAOUHSC_00290	Chromosome	302466	303416	+	951	0	0	2
SAOUHSC_00291	Chromosome	303759	304877	+	1119	0	0	0
SAOUHSC_00292	Chromosome	304852	305775	+	924	0	0	0
SAOUHSC_00293	Chromosome	305786	307006	+	1221	0	0	0
SAOUHSC_00294	Chromosome	307111	308643	-	1533	0	1	0
SAOUHSC_00295	Chromosome	308683	309564	-	882	0	0	0
SAOUHSC_00296	Chromosome	309722	310582	+	861	0	0	0
SAOUHSC_00297	Chromosome	310860	311660	-	801	1	0	2
SAOUHSC_00298	Chromosome	311800	312468	+	669	1	0	1
SAOUHSC_00299	Chromosome	312595	313908	-	1314	0	0	0
SAOUHSC_00300	Chromosome	314326	316398	+	2073	7	16	3
SAOUHSC_00301	Chromosome	316640	317467	-	828	1	5	1
SAOUHSC_00302	Chromosome	317540	318739	-	1200	0	0	3
SAOUHSC_00303	Chromosome	318835	318927	+	93	0	0	0
SAOUHSC_00304	Chromosome	319041	320042	+	1002	0	0	0
SAOUHSC_00305	Chromosome	320136	320408	+	273	0	0	0
SAOUHSC_00306	Chromosome	320409	321209	+	801	0	0	0
SAOUHSC_00307	Chromosome	321199	322143	+	945	0	0	0
SAOUHSC_00308	Chromosome	322121	323143	+	1023	1	0	0
SAOUHSC_00309	Chromosome	323458	324483	+	1026	0	2	0
SAOUHSC_00310	Chromosome	324576	325922	-	1347	0	0	1
SAOUHSC_00311	Chromosome	325937	326221	-	285	0	0	0
SAOUHSC_00312	Chromosome	326223	326666	-	444	0	0	0
SAOUHSC_00313	Chromosome	326671	328626	-	1956	0	0	0
SAOUHSC_00314	Chromosome	328838	329257	+	420	0	0	2
SAOUHSC_00315	Chromosome	329364	330719	+	1356	0	0	0
SAOUHSC_00316	Chromosome	330823	331263	+	441	0	0	0
SAOUHSC_00317	Chromosome	331346	332704	-	1359	0	0	0
SAOUHSC_00318	Chromosome	333012	333938	+	927	0	0	0
SAOUHSC_00319	Chromosome	333952	335013	+	1062	0	1	1
SAOUHSC_00320	Chromosome	335027	335593	+	567	0	0	0
SAOUHSC_00322	Chromosome	335653	336648	-	996	2	1	0
SAOUHSC_00323	Chromosome	336647	337054	+	408	0	0	0
SAOUHSC_00324	Chromosome	337067	337612	+	546	0	0	1
SAOUHSC_00325	Chromosome	337880	338734	+	855	0	0	0
SAOUHSC_00326	Chromosome	338731	339960	+	1230	0	1	0
SAOUHSC_00327	Chromosome	339971	341653	+	1683	1	1	1
SAOUHSC_00328	Chromosome	341746	342402	-	657	0	0	2
SAOUHSC_00329	Chromosome	342464	342688	-	225	0	0	0
SAOUHSC_00330	Chromosome	342788	343177	-	390	1	0	0
SAOUHSC_00331	Chromosome	343418	343621	+	204	0	0	0
SAOUHSC_00332	Chromosome	343618	344331	+	714	2	0	1
SAOUHSC_00333	Chromosome	344356	345198	+	843	1	0	1
SAOUHSC_00334	Chromosome	345198	345827	+	630	2	1	4
SAOUHSC_00335	Chromosome	346194	347327	-	1134	1	0	2
SAOUHSC_A00332	Chromosome	347735	347893	-	159	0	0	1
SAOUHSC_00336	Chromosome	347866	349047	+	1182	5	1	18
SAOUHSC_00337	Chromosome	349130	349882	-	753	2	1	1
SAOUHSC_00338	Chromosome	349925	352153	-	2229	2	2	2
SAOUHSC_00339	Chromosome	352150	353991	-	1842	0	2	1
SAOUHSC_00340	Chromosome	353960	355120	-	1161	1	0	0
SAOUHSC_00341	Chromosome	355117	356220	-	1104	1	0	2
SAOUHSC_00342	Chromosome	356884	357729	+	846	0	0	1
SAOUHSC_00344	Chromosome	357886	358767	+	882	2	1	5
SAOUHSC_00345	Chromosome	358797	359000	+	204	1	0	1
SAOUHSC_00346	Chromosome	359012	360109	+	1098	4	0	12
SAOUHSC_00347	Chromosome	360195	360386	-	192	0	0	1
SAOUHSC_00348	Chromosome	360630	360926	+	297	34	8	67
SAOUHSC_00349	Chromosome	360947	361450	+	504	74	16	92
SAOUHSC_00350	Chromosome	361502	361744	+	243	19	5	27
EBG00001047237	Chromosome	361904	361999	+	96	0	0	0
SAOUHSC_00351	Chromosome	362010	362948	-	939	0	0	0
SAOUHSC_00352	Chromosome	362987	363298	-	312	0	0	0
SAOUHSC_00353	Chromosome	363376	363534	-	159	0	0	0
SAOUHSC_00354	Chromosome	363894	364505	+	612	0	0	0
SAOUHSC_00355	Chromosome	364874	365242	+	369	0	0	0
SAOUHSC_00356	Chromosome	365423	365995	+	573	0	3	0
SAOUHSC_00357	Chromosome	366133	366396	-	264	1	0	3
SAOUHSC_00358	Chromosome	366696	366947	+	252	0	1	0
SAOUHSC_A00354	Chromosome	366986	367195	-	210	0	0	0
SAOUHSC_00359	Chromosome	367373	367954	+	582	0	1	1
SAOUHSC_00360	Chromosome	368020	368403	-	384	1	1	0
SAOUHSC_00362	Chromosome	368658	369284	-	627	0	7	3
SAOUHSC_00363	Chromosome	369357	369650	-	294	0	0	2
SAOUHSC_00364	Chromosome	369729	371252	-	1524	75	66	65
SAOUHSC_00365	Chromosome	371268	371837	-	570	24	25	28
SAOUHSC_00366	Chromosome	372329	373084	+	756	3	1	5
SAOUHSC_00367	Chromosome	373165	374553	-	1389	7	2	1
SAOUHSC_00368	Chromosome	374638	374739	+	102	0	0	0
SAOUHSC_00369	Chromosome	375530	376486	-	957	8	5	24
SAOUHSC_00370	Chromosome	376604	377266	-	663	0	1	2
SAOUHSC_00371	Chromosome	377409	377816	-	408	0	0	0
SAOUHSC_00372	Chromosome	378329	378907	+	579	1	0	2
SAOUHSC_00373	Chromosome	378907	380175	+	1269	1	1	6
SAOUHSC_00374	Chromosome	380213	381679	+	1467	12	1	21
SAOUHSC_00375	Chromosome	381704	383245	+	1542	6	1	20
SAOUHSC_00376	Chromosome	383358	383894	-	537	1	0	1
EBG00001047229	Chromosome	384158	384255	+	98	0	0	0
SAOUHSC_00377	Chromosome	384287	384991	-	705	1	0	1
SAOUHSC_00378	Chromosome	385390	385662	-	273	0	0	0
SAOUHSC_00380	Chromosome	385933	386193	+	261	0	0	0
SAOUHSC_00381	Chromosome	386599	386958	-	360	1	0	0
SAOUHSC_00382	Chromosome	386977	387822	-	846	1	1	0
SAOUHSC_00383	Chromosome	388294	388974	+	681	0	0	0
SAOUHSC_00384	Chromosome	389260	389955	+	696	0	0	0
SAOUHSC_00386	Chromosome	390246	391316	+	1071	0	0	0
SAOUHSC_00387	Chromosome	391435	391572	+	138	0	0	0
SAOUHSC_00389	Chromosome	391681	392607	+	927	0	0	0
SAOUHSC_00390	Chromosome	392971	393675	+	705	0	0	0
SAOUHSC_A00379	Chromosome	393579	393878	-	300	0	0	0
SAOUHSC_00391	Chromosome	394121	394816	+	696	0	0	0
SAOUHSC_00392	Chromosome	395237	395932	+	696	0	0	0
SAOUHSC_00393	Chromosome	396276	396974	+	699	0	0	0
SAOUHSC_00394	Chromosome	397354	398052	+	699	1	0	0
SAOUHSC_00395	Chromosome	398418	399101	+	684	0	0	0
SAOUHSC_00396	Chromosome	399186	399287	-	102	0	0	0
SAOUHSC_00397	Chromosome	399449	400921	+	1473	3	1	6
SAOUHSC_00398	Chromosome	400914	402125	+	1212	1	1	4
SAOUHSC_00399	Chromosome	402508	403185	+	678	0	0	0
SAOUHSC_00400	Chromosome	403207	404715	+	1509	3	0	2
SAOUHSC_00401	Chromosome	404819	405127	-	309	0	1	0
SAOUHSC_00402	Chromosome	405465	406283	+	819	1	0	1
SAOUHSC_00404	Chromosome	406302	407087	+	786	0	0	0
SAOUHSC_00405	Chromosome	407345	408082	+	738	0	1	1
SAOUHSC_00406	Chromosome	408072	409400	+	1329	0	2	2
SAOUHSC_00407	Chromosome	409397	409720	+	324	0	2	1
SAOUHSC_00408	Chromosome	409739	410053	+	315	1	0	5
SAOUHSC_00409	Chromosome	410343	410603	-	261	1	0	0
SAOUHSC_00410	Chromosome	410722	411924	+	1203	0	0	0
SAOUHSC_00411	Chromosome	412193	412321	+	129	0	0	0
EBG00001047317	Chromosome	412518	412673	+	156	0	0	0
SAOUHSC_00412	Chromosome	413512	414996	+	1485	5	3	4
SAOUHSC_00413	Chromosome	415009	417714	+	2706	7	8	12
SAOUHSC_00414	Chromosome	417876	418238	+	363	2	2	4
SAOUHSC_00415	Chromosome	418467	418883	-	417	0	0	1
SAOUHSC_00416	Chromosome	418921	419595	+	675	3	1	0
SAOUHSC_00417	Chromosome	419632	420366	+	735	3	1	6
SAOUHSC_00418	Chromosome	420544	420657	+	114	0	0	0
SAOUHSC_00420	Chromosome	420822	422159	+	1338	5	0	10
SAOUHSC_00421	Chromosome	422376	423290	+	915	1	2	1
SAOUHSC_00422	Chromosome	423274	424416	+	1143	2	1	1
SAOUHSC_00423	Chromosome	424710	425735	+	1026	4	0	1
SAOUHSC_00424	Chromosome	425739	426398	+	660	0	0	0
SAOUHSC_00426	Chromosome	426435	427277	+	843	0	0	0
